"username","eventid","UID","exportime","eventdate","eventtype","userstatus","eventtitle"
"Irrelevant","1174918201419780147","1174918201419780147-Irrelevant","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Kaiser","1174918201419780147","1174918201419780147-Kaiser","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Ici","1174918201419780147","1174918201419780147-Ici","11/18/2023 12:15:01 PM","11/21/2023","core","Absence","Tuesday Raid (Optional)"
"Irrelevant","1174212534279086142","1174212534279086142-Irrelevant","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Iny","1174212534279086142","1174212534279086142-Iny","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Apax","1174212534279086142","1174212534279086142-Apax","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Embe","1174212534279086142","1174212534279086142-Embe","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Hatterz","1174212534279086142","1174212534279086142-Hatterz","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Wynd","1174212534279086142","1174212534279086142-Wynd","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Jergin","1174212534279086142","1174212534279086142-Jergin","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Jaba","1174212534279086142","1174212534279086142-Jaba","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Broken","1174212534279086142","1174212534279086142-Broken","11/18/2023 12:15:01 PM","11/14/2023","core","Absence","Tuesday Raid"
"Brul","1174212534279086142","1174212534279086142-Brul","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Aea","1174212534279086142","1174212534279086142-Aea","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Kilik","1174212534279086142","1174212534279086142-Kilik","11/18/2023 12:15:01 PM","11/14/2023","core","Absence","Tuesday Raid"
"Kniftty","1174212534279086142","1174212534279086142-Kniftty","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Gus","1174212534279086142","1174212534279086142-Gus","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Krippz","1174212534279086142","1174212534279086142-Krippz","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Sithicc","1174212534279086142","1174212534279086142-Sithicc","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Proflex","1174212534279086142","1174212534279086142-Proflex","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Sherbe","1174212534279086142","1174212534279086142-Sherbe","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Juked","1174212534279086142","1174212534279086142-Juked","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Ici","1174212534279086142","1174212534279086142-Ici","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Shlup","1174212534279086142","1174212534279086142-Shlup","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Remmy","1174212534279086142","1174212534279086142-Remmy","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"KC","1174212534279086142","1174212534279086142-KC","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Porf","1174212534279086142","1174212534279086142-Porf","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Blasph","1174212534279086142","1174212534279086142-Blasph","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Behna","1174212534279086142","1174212534279086142-Behna","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Zero","1174212534279086142","1174212534279086142-Zero","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Analendon","1174212534279086142","1174212534279086142-Analendon","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Kaiser","1174212534279086142","1174212534279086142-Kaiser","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Loa","1174212534279086142","1174212534279086142-Loa","11/18/2023 12:15:01 PM","11/14/2023","core","Present","Tuesday Raid"
"Maditz","1174212534279086142","1174212534279086142-Maditz","11/18/2023 12:15:01 PM","11/14/2023","core","Late","Tuesday Raid"
"Sherbe","1172381451925336114","1172381451925336114-Sherbe","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Behna","1172381451925336114","1172381451925336114-Behna","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
